compound_id,canonical_smiles,supplier,pKD_global_mean,is_binder,binder_threshold_pkd,fold,pacmap_1,pacmap_2,holdout_fold,is_holdout
1000062067,COc1cccc(Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)c1,ChemSpace (numeric),2.890109975118567,false,3.837255850567785,3,-0.4422557055950165,-0.7705711722373962,4,false
1000065718,COc1ccc(C(=O)Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)cc1,ChemSpace (numeric),2.5403721597408295,false,3.837255850567785,3,-0.8076968193054199,-1.1362204551696777,4,false
101855926,O=C1CC2(CCN(C(=O)c3ccccc3Nc3ccc(SC(F)F)cc3)CC2)N1,ChemSpace (numeric),3.576846710593981,false,3.837255850567785,3,-0.5476751923561096,-0.9074727892875671,4,false
105107348,O=C(Nc1c[nH]nc1Cl)C1CC(=O)N(c2ccccc2Cl)C1,ChemSpace (numeric),3.1540436501827895,false,3.837255850567785,0,11.788704872131348,-2.06333327293396,4,false
105155594,CN(CCCN1CCCC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.150653634324521,false,3.837255850567785,0,18.45151710510254,-16.710189819335938,4,false
1132328100,C[C@@H]1CN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C[C@H]1O,ChemSpace (numeric),3.340335610162671,false,3.837255850567785,3,-1.9724059104919434,-3.716268539428711,4,false
1167298751,CN(CC1CCCNC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),2.8363811201272076,false,3.837255850567785,0,18.452383041381836,-16.71451187133789,4,false
1181032117,NC(=O)C1CCN1C(=O)NC1CCN(c2ccccc2Cl)C1=O,ChemSpace (numeric),2.365909297963787,false,3.837255850567785,5,17.317171096801758,7.866094589233398,4,false
1192001018,O=C(c1occc1CN1C(=O)Cc2ccccc21)N1CCC(O)C1,ChemSpace (numeric),2.988120443146682,false,3.837255850567785,3,-1.8078752756118774,-3.6961770057678223,4,false
1257035688,Cc1ccccc1N1CCCC(Nc2ccc(Cl)c(C(N)=O)c2)C1=O,ChemSpace (numeric),3.4202277871102655,false,3.837255850567785,5,16.11971664428711,9.329646110534668,4,false
1288418269,CCNC1CCCN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C1,ChemSpace (numeric),3.8579422583945964,true,3.837255850567785,3,-1.86956787109375,-3.548449993133545,4,false
1390181723,O=C(NCC1(O)CCOc2ccccc21)C1OCCc2ccccc21,ChemSpace (numeric),2.741112000381227,false,3.837255850567785,3,-1.8995016813278198,-5.2419610023498535,4,false
1408803353,COC1CCN(C(=O)c2ccccc2Nc2ccccc2)C1,ChemSpace (numeric),2.933807050208411,false,3.837255850567785,3,-0.4070938229560852,-0.7261189818382263,4,false
1440526295,CCN(CC1CCOCC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.3630303715799097,false,3.837255850567785,0,18.450334548950195,-16.7117919921875,4,false
1443520257,CC1=NOC(C)(CNC(=O)C2OCCc3ccccc32)C1,ChemSpace (numeric),2.2624852509433713,false,3.837255850567785,3,-1.9152506589889526,-5.292444229125977,4,false
162723460,COC1CCCN(C(=O)c2ccccc2Nc2ccc(C)cc2)C1,ChemSpace (numeric),2.8373049548092264,false,3.837255850567785,3,-0.3682822287082672,-0.6942214965820312,4,false
162826242,COC1CCCN(C(=O)c2ccccc2Nc2ccc(OC(F)F)cc2)C1,ChemSpace (numeric),2.354321056684698,false,3.837255850567785,3,-0.4190502166748047,-0.7563564777374268,4,false
173355673,CN(CC1CCCO1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),2.751116081281551,false,3.837255850567785,0,18.45173454284668,-16.709306716918945,4,false
182917741,CS(=O)(=O)NC1CCCN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C1,ChemSpace (numeric),2.7441832433923032,false,3.837255850567785,3,-1.9092116355895996,-3.6413183212280273,4,false
189605232,CN(Cc1ccc(Cl)cc1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.714971599423282,false,3.837255850567785,0,18.452415466308594,-16.710590362548828,4,false
192562786,CN(Cc1ccccc1Br)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),3.864274546405571,true,3.837255850567785,0,18.447307586669922,-16.711462020874023,4,false
195394279,COc1cccc(Nc2ccccc2C(=O)N2CCC(C3CC3)C2)c1,ChemSpace (numeric),3.450299026214787,false,3.837255850567785,3,-0.4324643611907959,-0.7519058585166931,4,false
