compound_id,reference_date,smiles,supplier,pKD_mean,pKD_std,n_replicates,KD_M_mean,canonical_smiles,valid,mw,logp,hbd,hba,heavy_atoms,num_rings,tpsa,rotatable_bonds,passes_chordoma_filters
1000062067,20201029,COC=1C=CC=C(NC=2C=CC=CC2C(=O)N3CC[C@@H](O)[C@@H](O)C3)C1,ChemSpace (numeric),2.890109975118567,,1,0.001287923373335855,COc1cccc(Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)c1,True,342.15795718399994,2.0064999999999995,3.0,5.0,25.0,3.0,82.03,4.0,True
1000065718,20201029,COC=1C=CC(=CC1)C(=O)NC=2C=CC=CC2C(=O)N3CC[C@@H](O)[C@@H](O)C3,ChemSpace (numeric),2.5403721597408295,,1,0.0028815611501453037,COc1ccc(C(=O)Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)cc1,True,370.152871804,1.5151999999999999,3.0,5.0,27.0,3.0,99.10000000000001,4.0,True
101855926,20201029,FC(F)SC=1C=CC(NC=2C=CC=CC2C(=O)N3CCC4(CC(=O)N4)CC3)=CC1,ChemSpace (numeric),3.576846710593981,,1,0.0002649435123248257,O=C1CC2(CCN(C(=O)c3ccccc3Nc3ccc(SC(F)F)cc3)CC2)N1,True,417.1322543520001,4.239600000000003,2.0,4.0,29.0,4.0,61.440000000000005,5.0,True
105107348,20201029,ClC1=NNC=C1NC(=O)C2CN(C(=O)C2)C=3C=CC=CC3Cl,ChemSpace (numeric),3.1540436501827895,,1,0.0007013847999112215,O=C(Nc1c[nH]nc1Cl)C1CC(=O)N(c2ccccc2Cl)C1,True,338.033730984,2.708100000000001,2.0,3.0,22.0,3.0,78.08999999999999,3.0,True
105155594,20201029,CN(CCCN1CCCC1)C(=O)C=2C=CC(=O)N(CC=3C=CC=CC3Cl)C2,ChemSpace (numeric),3.150653634324521,,1,0.000706881092942909,CN(CCCN1CCCC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,True,387.17135475199996,3.1079000000000008,0.0,3.0,27.0,3.0,45.550000000000004,7.0,True
1132328100,20201029,C[C@@H]1CN(C[C@H]1O)C(=O)C=2OC=CC2CN3C(=O)CC=4C=CC=CC34,ChemSpace (numeric),3.340335610162671,,1,0.0004567351015825274,C[C@@H]1CN(C(=O)c2occc2CN2C(=O)Cc3ccccc32)C[C@H]1O,True,340.14230712,1.8216999999999999,1.0,4.0,25.0,4.0,73.99000000000001,3.0,True
1167298751,20201029,CN(CC1CCCNC1)C(=O)C=2C=CC(=O)N(CC=3C=CC=CC3Cl)C2,ChemSpace (numeric),2.8363811201272076,,1,0.0014575346225730553,CN(CC1CCCNC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,True,373.15570468799996,2.621600000000001,1.0,3.0,26.0,3.0,54.34,5.0,True
1181032117,20201029,NC(=O)C1CCN1C(=O)NC2CCN(C2=O)C=3C=CC=CC3Cl,ChemSpace (numeric),2.365909297963787,,1,0.004306165350011601,NC(=O)C1CCN1C(=O)NC1CCN(c2ccccc2Cl)C1=O,True,336.098918084,0.7145000000000001,2.0,3.0,23.0,3.0,95.74000000000001,3.0,True
1192001018,20201029,OC1CCN(C1)C(=O)C=2OC=CC2CN3C(=O)CC=4C=CC=CC34,ChemSpace (numeric),2.988120443146682,,1,0.0010277312372856395,O=C(c1occc1CN1C(=O)Cc2ccccc21)N1CCC(O)C1,True,326.126657056,1.5756999999999999,1.0,4.0,24.0,4.0,73.99000000000001,3.0,True
1257035688,20201029,CC=1C=CC=CC1N2CCCC(NC=3C=CC(Cl)=C(C3)C(=O)N)C2=O,ChemSpace (numeric),3.4202277871102655,,1,0.00037999003957044027,Cc1ccccc1N1CCCC(Nc2ccc(Cl)c(C(N)=O)c2)C1=O,True,357.12440455999996,3.354820000000001,2.0,3.0,25.0,3.0,75.43,4.0,True
