compound_id,canonical_smiles,supplier,pKD_global_mean,is_binder,binder_threshold_pkd,fold,pacmap_1,pacmap_2,holdout_fold,is_holdout,filter_lo_pkd,filter_hi_pkd
1000062067,COc1cccc(Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)c1,ChemSpace (numeric),2.890109975118567,false,3.837255850567785,3,-0.4422557055950165,-0.7705711722373962,3,true,3.0,5.0
1000065718,COc1ccc(C(=O)Nc2ccccc2C(=O)N2CC[C@@H](O)[C@@H](O)C2)cc1,ChemSpace (numeric),2.5403721597408295,false,3.837255850567785,3,-0.8076968193054199,-1.1362204551696777,3,true,3.0,5.0
1167298751,CN(CC1CCCNC1)C(=O)c1ccc(=O)n(Cc2ccccc2Cl)c1,ChemSpace (numeric),2.8363811201272076,false,3.837255850567785,0,18.452383041381836,-16.71451187133789,3,false,3.0,5.0
1181032117,NC(=O)C1CCN1C(=O)NC1CCN(c2ccccc2Cl)C1=O,ChemSpace (numeric),2.365909297963787,false,3.837255850567785,5,17.317171096801758,7.866094589233398,3,false,3.0,5.0
1192001018,O=C(c1occc1CN1C(=O)Cc2ccccc21)N1CCC(O)C1,ChemSpace (numeric),2.988120443146682,false,3.837255850567785,3,-1.8078752756118774,-3.6961770057678223,3,true,3.0,5.0
1390181723,O=C(NCC1(O)CCOc2ccccc21)C1OCCc2ccccc21,ChemSpace (numeric),2.741112000381227,false,3.837255850567785,3,-1.8995016813278198,-5.2419610023498535,3,true,3.0,5.0
1408803353,COC1CCN(C(=O)c2ccccc2Nc2ccccc2)C1,ChemSpace (numeric),2.933807050208411,false,3.837255850567785,3,-0.4070938229560852,-0.7261189818382263,3,true,3.0,5.0
1443520257,CC1=NOC(C)(CNC(=O)C2OCCc3ccccc32)C1,ChemSpace (numeric),2.2624852509433713,false,3.837255850567785,3,-1.9152506589889526,-5.292444229125977,3,true,3.0,5.0
162723460,COC1CCCN(C(=O)c2ccccc2Nc2ccc(C)cc2)C1,ChemSpace (numeric),2.8373049548092264,false,3.837255850567785,3,-0.3682822287082672,-0.6942214965820312,3,true,3.0,5.0
162826242,COC1CCCN(C(=O)c2ccccc2Nc2ccc(OC(F)F)cc2)C1,ChemSpace (numeric),2.354321056684698,false,3.837255850567785,3,-0.4190502166748047,-0.7563564777374268,3,true,3.0,5.0
